번호,영단어,뜻,동의어
1,achieve,성취하다,"accomplish, perform, effect"
2,anchor,고정시키다,"hold in place, secure, fasten"
3,attribute,"1. ~의 탓으로 돌리다 2. 특성","1. ascribe, impute, refer 2. quality, trait, characteristic, property"
4,brisk,활기 있는,"active, vigorous, energetic, lively"
5,codify,(체계적으로) 정리하다,"classify, arrange, systematize"
6,consummate,뛰어난; 완전한,"superb, complete"
7,descent,"1. 하강 2. 혈통, 기원","1. falling 2. origin, blood, lineage"
8,disseminate,퍼뜨리다,"spread out, distribute, disperse, scatter"
9,earn,획득하다,"acquire, attain, win"
10,emergence,"출현, 부상","rise, appearance, advent"
11,facilitate,(일을) 용이하게 하다,make more available (easier)
12,fervent,열정적인,"passionate, ardent, earnest"
13,fine,"미세한, 섬세한; 가느다란","slight, subtle, delicate, thin"
14,frivolous,사소한,"trivial, trifling, petty, unimportant"
15,giant,거인,ogre
16,golden age,"황금 시대, 전성기",a period of great achievement
17,grasp,"1. 붙잡다 2. 이해하다, 파악하다","1. grip, clutch, grab, seize 2. catch, understand, comprehend, apprehend"
18,hamstrung,무력한; 불구의,"ineffective, powerless, disabled, crippled, lame"
19,haphazard,"되는대로의, 우연의","random, casual, unplanned, chance"
20,incidental,중요하지 않은; 우연한,"minor, secondary, accidental, casual"
21,initiate,시작하다,"start, begin, originate, commence, inaugurate"
22,make up,"창작하다, 창안하다",invent
23,manifold,가지각색의,"various, multiple, diverse"
24,obliterate,제거하다,"delete, erase, efface, eradicate, wipe out"
25,period,시대,"time, age, era, epoch"
26,proceed,나아가다,"advance, progress"
27,procure,얻다,"obtain, gain, secure, acquire"
28,professional,전문적인,"specialized, expert, adept"
29,redundancy,여분; 장황,"superfluity, extra capacity, wordiness"
30,responsible,책임이 있는,"charged, liable, accountable, answerable"
31,sharp,"1. 날카로운, 예리한 2. 급격한","1. keen, pointed, shrewd 2. sudden, abrupt, rapid"
32,supplement,"1. 보충하다 2. 추가, 부가","1. add to 2. extension, extra, addition"
33,suspend,"1. 연기하다 2. 중지하다 3. 매달다","1. defer, postpone, delay, procrastinate 2. interrupt, cease, arrest, stop 3. hang, dangle, sling"
34,tailored,맞추어진,"adapted, fitted"
